id,name,salary,promotion,phonenumber,datausage,subdistrict,data,call,call usage,age,date,Net Over limit,Call Over limit,STATUS
1,Dina Monahan Sr.,15000,1090,893081438,49,หัวทุ่ง,50,500,496,20,9/10/2018 17:09,0,0,TX
2,Garth Batz,50000,1090,812604870,12,หนองแรต,50,500,182,30,24/7/2018 09:55,0,0,OK
3,Veronica Denesik,50000,390,849805465,19,แก่งเลิงจาน,10,100,766,47,20/4/2018 12:11,9,666,TX
4,Eulalia Hermiston,30000,590,844967627,24,แม่ฮ้อยเงิน,20,200,693,56,11/7/2018 16:50,4,493,OK
5,Lenny Welch MD,50000,590,884879768,3,บางสมบูรณ์,20,200,147,32,30/7/2018 01:17,0,0,OK
6,Theron Reynolds,15000,890,838516694,29,ตลาดกรวด,30,300,268,22,31/1/2019 19:23,0,0,TX
7,Dr. Litzy Pouros DVM,12000,390,858948828,32,เมืองเสือ,10,100,125,17,6/5/2018 14:58,22,25,TX
8,Thalia Reynolds,20000,590,875159211,33,นาอุดม,20,200,236,31,18/5/2018 01:14,13,36,TX
9,Mrs. Kimberly Spinka,25000,890,886739688,9,ช้างน้อย,30,300,395,41,5/4/2018 02:53,0,95,TX
10,Mac Hagenes Jr.,50000,1090,819215491,26,สินปุน,50,500,141,38,9/4/2018 18:25,0,0,TX
11,Judah Feest,18000,1090,824390408,12,จำลอง,50,500,116,20,16/2/2018 00:16,0,0,TX
12,Casimer Waters Sr.,30000,590,839431838,29,หินเหล็กไฟ,20,200,370,30,2/5/2018 07:31,9,170,TX
13,Mr. Torey Bergstrom,25000,590,815199292,6,เวียงเหนือ,20,200,403,37,30/5/2018 13:55,0,203,OK
14,Avis Strosin,20000,1090,868298125,7,หนองเหล็ก,50,500,546,58,24/2/2018 13:07,0,46,TX
15,Seamus Rodriguez,30000,890,874236911,13,อ่างทอง,30,300,57,41,8/9/2018 10:00,0,0,OK
16,Mr. Lincoln Boyle DVM,30000,590,858194531,22,ดอกล้ำ,20,200,259,42,10/10/2018 10:00,2,59,TX
17,Rachel Homenick,20000,1090,817702418,8,ไพร,50,500,149,60,25/12/2018 15:16,0,0,OK
18,Sallie Goldner,30000,890,844835256,38,น้ำสวย,30,300,453,58,23/10/2018 23:20,8,153,TX
19,Dewayne Becker DVM,25000,590,860465067,31,ยางสักกระโพหลุ่ม,20,200,145,57,2/12/2018 04:21,11,0,OK
20,Arvilla Pacocha,25000,1090,877110516,14,หนองหว้า,50,500,85,49,22/9/2018 08:51,0,0,OK
21,Trevor Bauch,25000,590,897488390,39,ไผ่,20,200,671,30,9/5/2018 17:36,19,471,TX
22,Monserrat Haag,15000,890,878783339,24,วังใต้,30,300,773,16,13/9/2018 08:22,0,473,TX
23,Elda Jacobi,20000,590,872071474,25,ไพร,20,200,264,29,11/10/2018 11:40,5,64,TX
24,Joan Kuhn,20000,390,845754832,14,จะรัง,10,100,201,60,7/1/2019 15:08,4,101,OK
25,Emilio King,25000,1090,847240720,2,เขื่อนอุบลรัตน์,50,500,459,30,20/12/2018 00:36,0,0,OK
26,Rey Welch,50000,1090,825534213,1,พยอม,50,500,164,45,16/1/2019 13:34,0,0,OK
27,Dr.erva Carroll,20000,1090,891179445,17,ท่ามะขาม,50,500,729,31,18/7/2018 15:45,0,229,TX
28,Marques Osinski,12000,1090,818897422,31,เกาะลอย,50,500,182,26,28/2/2018 11:57,0,0,OK
29,Modesto Bauch,15000,1090,880748354,12,บ้านควน,50,500,285,22,10/10/2018 21:31,0,0,OK
30,Prof. Miguel Pagac,25000,390,849257947,50,ดงป่าคำ,10,100,342,53,5/2/2019 21:38,40,242,TX
31,Frank Kertzmann,30000,890,821105608,38,ดอยแก้ว,30,300,484,42,20/5/2018 12:30,8,184,TX
32,Mrs. Eldora Harvey Jr.,25000,590,842936240,43,บางใหญ่,20,200,376,39,9/12/2018 21:41,23,176,TX
33,Dominic Feil,20000,890,861298379,49,คำแคน,30,300,481,46,6/10/2018 14:24,19,181,OK
34,Harmon Franecki,30000,390,828156609,36,เม็งราย,10,100,204,54,3/11/2018 05:07,26,104,TX
35,Miss Hosea West V,20000,890,877260900,40,หนองย่างทอย,30,300,458,17,25/7/2018 04:36,10,158,OK
36,Janice D'Amore,20000,890,812168411,41,เกษม,30,300,740,28,9/7/2018 17:33,11,440,TX
37,Roy Lind I,18000,890,817061999,15,หนองกระทุ่ม,30,300,396,26,12/1/2019 00:04,0,96,TX
38,Parker Mills,20000,590,848049945,39,หนองตอกแป้น,20,200,591,32,8/7/2018 16:42,19,391,TX
39,Mariela Greenfelder,50000,390,852140963,28,ริมสีม่วง,10,100,23,46,5/11/2018 02:57,18,0,TX
40,Miss Ericka Ankunding II,12000,390,880675234,5,จันทเขลม,10,100,323,15,5/9/2018 19:09,0,223,OK
41,Ima Shanahan,18000,590,819706764,34,ลาดทิพรส,20,200,719,18,29/6/2018 23:31,14,519,TX
42,Jordane Greenfelder,15000,590,892974546,4,อ่างทอง,20,200,618,25,20/3/2018 03:15,0,418,TX
43,Regan Casper,30000,1090,810476060,47,คลองจินดา,50,500,120,54,25/5/2018 05:51,0,0,TX
44,Prof. Reggie Lowe,25000,890,810506448,1,ภูน้ำหยด,30,300,391,36,26/3/2018 06:33,0,91,OK
45,Dr. Enoch Gorczany,20000,390,846697583,13,เกาะยาวใหญ่,10,100,418,39,23/12/2018 21:14,3,318,TX
